Account Name,Parent Account,Account Number,Is Group,Account Type,Root Type
Application of Funds (Assets) - B,,1000000,1,,Asset
Current Assets- B,Application of Funds (Assets) - B,1010000,1,,Asset
Cash Accounts,Current Assets- B,1010100,1,Cash,Asset
Cash Box,Cash Accounts,1010101,0,Cash,Asset
Petty Cash,Cash Accounts,1010102,0,Cash,Asset
Bank Accounts,Current Assets- B,1010200,1,Bank,Asset
Bank - 11771004000101,Bank Accounts,1010201,0,Bank,Asset
Bank - 14365306000110,Bank Accounts,1010202,0,Bank,Asset
Accounts Receivable,Current Assets- B,1010300,1,Receivable,Asset
Mazin bin AbdulWahhab Kurdi Law Firm,Accounts Receivable,1010301,0,Receivable,Asset
Noura Pharmacy,Accounts Receivable,1010302,0,Receivable,Asset
Dijon,Accounts Receivable,1010303,0,Receivable,Asset
Al-Masah,Accounts Receivable,1010304,0,Receivable,Asset
Dar Al-Teb,Accounts Receivable,1010305,0,Receivable,Asset
Ajwaa Al-Khayal,Accounts Receivable,1010306,0,Receivable,Asset
Defense,Accounts Receivable,1010307,0,Receivable,Asset
Al-Mazra3a,Accounts Receivable,1010308,0,Receivable,Asset
Technical Company For Paints Works,Accounts Receivable,1010309,0,Receivable,Asset
Comprehensive preventive maintenance,Accounts Receivable,1010310,0,Receivable,Asset
Mawakeb Al-Amjad,Accounts Receivable,1010311,0,Receivable,Asset
Red Door,Accounts Receivable,1010312,0,Receivable,Asset
Biotech Gulf Cosmoceutical Company,Accounts Receivable,1010313,0,Receivable,Asset
Al Majal Service Master Co.,Accounts Receivable,1010314,0,Receivable,Asset
AKNAF ALKHALEEJ MEDICAL,Accounts Receivable,1010315,0,Receivable,Asset
Prepayments and other receivables,Current Assets- B,1010400,1,Receivable,Asset
Prepaid Expenses - Rent,Prepayments and other receivables,1010401,0,Receivable,Asset
Prepaid Expenses - Subscriptions,Prepayments and other receivables,1010402,0,Receivable,Asset
Deposit Rent Insurance ,Prepayments and other receivables,1010403,0,Receivable,Asset
Other Receivable,Prepayments and other receivables,1010404,0,Receivable,Asset
Stock Assets,Current Assets- B,1010500,1,Stock,Asset
Stock on Hand,Stock Assets,1010501,1,Stock,Asset
Due from Related Parties,Current Assets- B,1010600,1,Receivable,Asset
Due from Related Parties - Se7rek,Due from Related Parties,1010601,0,Receivable,Asset
Fixed Assets - B,Application of Funds (Assets) - B,1020000,1,,Asset
Asset Cost,Fixed Assets - B,1020100,1,Fixed Asset,Asset
Leasehold Improvements,Asset Cost,1020101,0,Fixed Asset,Asset
Office Furniture & Fixtures,Asset Cost,1020102,0,Fixed Asset,Asset
Asset Accumulated Depreciation,Fixed Assets - B,1020200,1,Accumulated Depreciation,Asset
Accumulated Depreciation - Leasehold Improvements,Asset Accumulated Depreciation,1020201,0,Accumulated Depreciation,Asset
Accumulated Depreciation - Office Furniture & Fixtures,Asset Accumulated Depreciation,1020202,0,Accumulated Depreciation,Asset
Investments - B,Application of Funds (Assets) - B,1030000,0,,Asset
Temporary Accounts - B,Application of Funds (Assets) - B,1040000,0,,Asset
Source of Funds (Liabilities) - B,,2000000,1,,Liability
Current Liabilities,Source of Funds (Liabilities) - B,2010000,1,,Liability
Accounts Payable,Current Liabilities,2010100,1,Payable,Liability
Kadour trading Est.,Accounts Payable,2010101,0,Payable,Liability
Medicine Wing for Trading Co.,Accounts Payable,2010102,0,Payable,Liability
Branderaa,Accounts Payable,2010103,0,Payable,Liability
Aliaf Lighting Est.,Accounts Payable,2010104,0,Payable,Liability
Al Ghdeer al Naqueea,Accounts Payable,2010105,0,Payable,Liability
Cigalah Group,Accounts Payable,2010106,0,Payable,Liability
Shhnaty Co.,Accounts Payable,2010107,0,Payable,Liability
PAYFORT Online Payment,Accounts Payable,2010108,0,Payable,Liability
Rawaj Global trading Company (Global Noura),Accounts Payable,2010109,0,Payable,Liability
Noura Pharmacy,Accounts Payable,2010110,0,Payable,Liability
Accruals and Other Payable,Current Liabilities,2010200,1,Payable,Liability
Accrued Salaries & Wages,Accruals and Other Payable,2010201,0,Payable,Liability
Accrued -Penalty,Accruals and Other Payable,2010202,0,Payable,Liability
VAT,Current Liabilities,2010300,1,Tax,Liability
VAT on Sales,VAT,2010301,0,Tax,Liability
VAT on Purchasing,VAT,2010302,0,Tax,Liability
Due VAT,VAT,2010303,0,Tax,Liability
Accrued Zakat,Current Liabilities,2010400,1,Payable,Liability
Accrued Zakat,Accrued Zakat,2010401,0,Payable,Liability
Due to Related Party,Current Liabilities,2010500,1,Payable,Liability
Due to Related Paries - Ahmed Metwally,Due to Related Party,2010501,0,Payable,Liability
Non-current Liabilities,Source of Funds (Liabilities) - B,2020000,1,,Liability
