Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-17,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0.00 ,"2,200.00 ",Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,"2,200.00 ",0.00 ,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-15,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0.00 ,"3,000.00 ",Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,"3,000.00 ",0.00 ,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-21,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0.00 ,"5,000.00 ",Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,"5,000.00 ",0.00 ,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-01,2010103,Branderaa,2010103 - Branderaa - B,"5,800.00 ",0.00 ,Main - B,,
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0.00 ,"5,800.00 ",Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-04,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0.00 ,"2,250.00 ",Main - B,Customer,Guest
,,,,1010301,Mazin bin AbdulWahhab Kurdi Law Firm,1010301 - Mazin bin AbdulWahhab Kurdi Law Firm - B,"2,250.00 ",0.00 ,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-08,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,"2,007.00 ",0.00 ,Main - B,,
,,,,2010201,Accrued Salaries & Wages,2010201 - Accrued Salaries & Wages - B,0.00 ,"2,000.00 ",Main - B,,
,,,,5030509,Bank Fees,5030509 - Bank Fees - B,0.00 ,7.00 ,Main - B,,
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,300.00 ,0.00 ,Main - B,,
,,,,5030401,Communication,5030401 - Communication - B,0.00 ,300.00 ,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,800.00 ,0.00 ,Main - B,,
,,,,5030401,Communication,5030401 - Communication - B,0.00 ,800.00 ,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-14,1010303,Dijon,1010303 - Dijon - B,0.00 ,"22,000.00 ",Main - B,,
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,"22,000.00 ",0.00 ,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-15,1010101,Cash Box,1010101 - Cash Box - B,0.00 ,"22,000.00 ",Main - B,,
,,,,1010303,Dijon,1010303 - Dijon - B,"22,000.00 ",0.00 ,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-19,1010102,Petty Cash,1010102 - Petty Cash - B,37.50 ,0.00 ,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0.00 ,37.50 ,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-23,1010102,Petty Cash,1010102 - Petty Cash - B,150.00 ,0.00 ,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0.00 ,150.00 ,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-27,1010102,Petty Cash,1010102 - Petty Cash - B,937.61 ,0.00 ,Main - B,Customer,Guest
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0.00 ,937.61 ,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-31,1010101,Cash Box,1010101 - Cash Box - B,"22,000.00 ",0.00 ,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0.00 ,"22,000.00 ",Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,224.00 ,0.00 ,Main - B,,
,,,,5030501,Hospitality,5030501 - Hospitality - B,0.00 ,224.00 ,Main - B,Customer,Guest
,,,,1020201,Accumulated Depreciation - Leasehold Improvements,1020201 - Accumulated Depreciation - Leasehold Improvements - B,"2,808.33 ",0.00 ,Main - B,,
,,,,5030301,Depreciation-Lease,5030301 - Depreciation-Lease - B,0.00 ,"2,808.33 ",Main - B,Customer,Guest
,,,,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,"4,200.00 ",0.00 ,Main - B,,
,,,,5030202,Rent Office,5030202 - Rent Office - B,0.00 ,"4,200.00 ",Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,"11,500.00 ",0.00 ,Main - B,,
,,,,2010201,Accrued Salaries & Wages,2010201 - Accrued Salaries & Wages - B,"7,000.00 ",0.00 ,Main - B,,
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0.00 ,"8,000.00 ",Main - B,Customer,Guest
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0.00 ,"3,000.00 ",Main - B,,
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0.00 ,"6,000.00 ",Main - B,,
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0.00 ,"1,500.00 ",Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,"7,000.00 ",0.00 ,Main - B,Customer,Guest
,,,,5020201,Commission Exp,5020201 - Commission Exp - B,0.00 ,"7,000.00 ",Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,"1,312.50 ",0.00 ,Main - B,Customer,Guest
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0.00 ,"1,312.50 ",Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-02-02,1010102,Petty Cash,1010102 - Petty Cash - B,184.46 ,0.00 ,Main - B,,
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0.00 ,184.46 ,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-02-27,1010102,Petty Cash,1010102 - Petty Cash - B,125.00 ,0.00 ,Main - B,,
,,,,5030403,Post,5030403 - Post - B,0.00 ,125.00 ,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-02-28,1010102,Petty Cash,1010102 - Petty Cash - B,288.00 ,0.00 ,Main - B,,
,,,,5030501,Hospitality,5030501 - Hospitality - B,0.00 ,288.00 ,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,60.00 ,0.00 ,Main - B,,
,,,,5030401,Communication,5030401 - Communication - B,0.00 ,60.00 ,Main - B,Customer,Guest
,,,,1020201,Accumulated Depreciation - Leasehold Improvements,1020201 - Accumulated Depreciation - Leasehold Improvements - B,"2,808.33 ",0.00 ,Main - B,,
,,,,5030301,Depreciation-Lease,5030301 - Depreciation-Lease - B,0.00 ,"2,808.33 ",Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,"1,275.00 ",0.00 ,Main - B,,
,,,,5030504,Stationery,5030504 - Stationery - B,0.00 ,"1,275.00 ",Main - B,,
,,,,1010401,Prepaid Expenses - Rent,1010401 - Prepaid Expenses - Rent - B,"4,200.00 ",0.00 ,Main - B,Customer,Guest
,,,,5030202,Rent Office,5030202 - Rent Office - B,0.00 ,"4,200.00 ",Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,"12,000.00 ",0.00 ,Main - B,,
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0.00 ,"1,500.00 ",Main - B,,
,,,,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0.00 ,"6,000.00 ",Main - B,Customer,Guest
