Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-17,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,2200,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,2200,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-15,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,3000,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,3000,0,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-03-21,1010601,Due from Related Parties - Se7rek,1010601 - Due from Related Parties - Se7rek - B,0,5000,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,5000,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-01,2010103,Branderaa,2010103 - Branderaa - B,5800,0,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,5800,Main - B,,
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-04,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,2250,Main - B,Customer,Guest
,,,,1010301,Mazin bin AbdulWahhab Kurdi Law Firm,1010301 - Mazin bin AbdulWahhab Kurdi Law Firm - B,2250,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2017-01-08,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,2007,0,Main - B,Customer,Guest
,,,,2010201,Accrued Salaries & Wages,2010201 - Accrued Salaries & Wages - B,0,2000,Main - B,Customer,Guest
,,,,5030509,Bank Fees,5030509 - Bank Fees - B,0,7,Main - B,,
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,300,0,Main - B,Customer,Guest
,,,,5030401,Communication,5030401 - Communication - B,0,300,Main - B,,
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,800,0,Main - B,,
,,,,5030401,Communication,5030401 - Communication - B,0,800,Main - B,,
