Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-01,2010103,Branderaa,2010103 - Branderaa - B,8940,0,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,8940,Main - B,Customer,Guest
,,,,1010305,Dar Al-Teb,1010305 - Dar Al-Teb - B,0,4042.5,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,192.5,0,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,3850,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-02,1010102,Petty Cash,1010102 - Petty Cash - B,6777.75,0,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0,322.75,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0,6455,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-04,1010102,Petty Cash,1010102 - Petty Cash - B,68.45,0,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0,1.45,Main - B,Customer,Guest
,,,,5030501,Hospitality,5030501 - Hospitality - B,0,38,Main - B,Customer,Guest
,,,,5030501,Hospitality,5030501 - Hospitality - B,0,29,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-08,1010102,Petty Cash,1010102 - Petty Cash - B,14007,0,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0,667,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0,13340,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,31000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,31000,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,11550,Main - B,Customer,Guest
,,,,1010302,Noura Pharmacy,1010302 - Noura Pharmacy - B,11550,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,0,31040,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,31040,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,11000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,11000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-17,1010102,Petty Cash,1010102 - Petty Cash - B,8662.5,0,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0,412.5,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0,8250,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-22,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,24650,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,24650,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,7,0,Main - B,Customer,Guest
,,,,5030509,Bank Fees,5030509 - Bank Fees - B,0,7,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0,542.5,Main - B,Customer,Guest
,,,,2010102,Medicine Wing for Trading Co.,2010102 - Medicine Wing for Trading Co. - B,11392.5,0,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0,10850,Main - B,Customer,Guest
,,,,2010102,Medicine Wing for Trading Co.,2010102 - Medicine Wing for Trading Co. - B,13257.5,0,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0,13257.5,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,24650,0,Main - B,Customer,Guest
,,,,2010102,Medicine Wing for Trading Co.,2010102 - Medicine Wing for Trading Co. - B,0,13257.5,Main - B,Customer,Guest
,,,,2010102,Medicine Wing for Trading Co.,2010102 - Medicine Wing for Trading Co. - B,0,11392.5,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-29,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,22060.5,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,1050.5,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,21010,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,22000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,22000,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,0,22060.5,Main - B,Customer,Guest
,,,,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,22060.5,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-30,1010101,Cash Box,1010101 - Cash Box - B,0,4042.5,Main - B,Customer,Guest
,,,,1010305,Dar Al-Teb,1010305 - Dar Al-Teb - B,4042.5,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,300,0,Main - B,Customer,Guest
,,,,5030504,Stationery,5030504 - Stationery - B,0,300,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,105,0,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0,5,Main - B,Customer,Guest
,,,,5030403,Post,5030403 - Post - B,0,100,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2018-01-31,1010102,Petty Cash,1010102 - Petty Cash - B,2887.5,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,1559.64,0,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0,137.5,Main - B,Customer,Guest
,,,,5020101,Marketing Exp,5020101 - Marketing Exp - B,0,1559.64,Main - B,Customer,Guest
