Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-01,2010103,Branderaa,2010103 - Branderaa - B,5200,0,Main - B,Customer,Guest
,,,,5010401,Subcontractors expenses,5010401 - Subcontractors expenses - B,0,5200,Main - B,Customer,Guest
,,,,1010313,Biotech Gulf Cosmoceutical Company,1010313 - Biotech Gulf Cosmoceutical Company - B,0,21735,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0,714.29,Main - B,Customer,Guest
,,,,2010104,Aliaf Lighting Est.,2010104 - Aliaf Lighting Est. - B,15000,0,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,1035,0,Main - B,Customer,Guest
,,,,4010102,Revenue - Branderaa,4010102 - Revenue - Branderaa - B,20700,0,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0,14285.71,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,7400,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,7400,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,431.04,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0.07,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,424.86,0,Main - B,Customer,Guest
,,,,5030401,Communication,5030401 - Communication - B,0,855.97,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-02,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,15000,0,Main - B,Customer,Guest
,,,,2010104,Aliaf Lighting Est.,2010104 - Aliaf Lighting Est. - B,0,15000,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,420750,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,36.6,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,420750,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,36.6,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,2171.4,0,Main - B,Customer,Guest
,,,,5030102,GOSI,5030102 - GOSI - B,0,2171.4,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,11000,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,5000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,16000,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-03,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,800,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,0,800,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,420000,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,420000,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,4800,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,4800,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-09,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,11550,Main - B,Customer,Guest
,,,,1010302,Noura Pharmacy,1010302 - Noura Pharmacy - B,11550,0,Main - B,Customer,Guest
,,,,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,11550,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,11550,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-22,1010314,Al Majal Service Master Co.,1010314 - Al Majal Service Master Co. - B,0,33705,Main - B,Customer,Guest
,,,,2010301,VAT on Sales,2010301 - VAT on Sales - B,1605,0,Main - B,Customer,Guest
,,,,4010101,Revenue - Construction,4010101 - Revenue - Construction - B,32100,0,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-23,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,33700,0,Main - B,Customer,Guest
,,,,1010102,Petty Cash,1010102 - Petty Cash - B,0,33700,Main - B,Customer,Guest
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2019-01-24,1010201,Bank - 11771004000101,1010201 - Bank - 11771004000101 - B,0,21735,Main - B,Customer,Guest
,,,,1010313,Biotech Gulf Cosmoceutical Company,1010313 - Biotech Gulf Cosmoceutical Company - B,21735,0,Main - B,Customer,Guest
,,,,1010202,Bank - 14365306000110,1010202 - Bank - 14365306000110 - B,0,33705,Main - B,Customer,Guest
