Entry Type,Series,Company,Posting Date,,,Account (Accounting Entries),Credit (Accounting Entries),Debit (Accounting Entries),Cost Center (Accounting Entries),Party Type (Accounting Entries),Party (Accounting Entries)
Journal Entry,ACC-JV-.YYYY.-,Branderaa,2020-01-28,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,2.40 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,16.51 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,3.04 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,12.86 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,5.92 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,14.40 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,3.52 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,10.72 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,10.08 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,3.74 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,11.84 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,12.86 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,5.12 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,4.80 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,18.72 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,24.77 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,10.08 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,1.76 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,3.52 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,42.24 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,8.96 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,6.40 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,6.53 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,2.69 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,9.12 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,8.26 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,22.66 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,4.16 ,Main - B,Customer,Guest
,,,,2010302,VAT on Purchasing,2010302 - VAT on Purchasing - B,0.00 ,1.60 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,201.60 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,35.20 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,70.40 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,844.80 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,179.20 ,Main - B,Customer,Guest
,,,,5010101,Cost of Goods Sold,5010101 - Cost of Goods Sold - B,0.00 ,128.00 ,Main - B,Customer,Guest
